COD_CHAVE;DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;CD_SITUACAO_LEGENDA;DS_SITUACAO
1000016813404009;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;MA;MA;MARANHÃO;9;1º SUPLENTE;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,00002E+11;PARA O BEM DO MARANHÃO;PSDB/CIDADANIA / PT/PC DO B/PV / PP / MDB / PODE / PSB / PATRIOTA;D;DEFERIDO
500016810561806;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;BA;BA;BAHIA;6;DEPUTADO FEDERAL;FEDERAÇÃO;18;REDE;REDE SUSTENTABILIDADE;3;Federação PSOL REDE;PSOL/REDE;REDE / PSOL;50001681056;#NULO#;PSOL/REDE;D;DEFERIDO
1500016817789006;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PB;PB;PARAÍBA;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;-1;#NULO#;#NULO#;#NULO#;1,50002E+11;#NULO#;PROS;D;DEFERIDO
500016817631110;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;BA;BA;BAHIA;10;2º SUPLENTE;COLIGAÇÃO;11;PP;PROGRESSISTAS;-1;#NULO#;#NULO#;#NULO#;50001681763;PRA MUDAR A BAHIA;PODE / PSDB/CIDADANIA / UNIÃO / REPUBLICANOS / PP / PDT / DC / PRTB / SOLIDARIEDADE / PTB / PSC;D;DEFERIDO
2700016832841503;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;TO;TO;TOCANTINS;3;GOVERNADOR;COLIGAÇÃO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;2,70002E+11;A TRANSFORMAÇÃO QUE O TOCANTINS PRECISA;MDB / PL / PODE;D;DEFERIDO
700016854295104;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;DF;DF;DISTRITO FEDERAL;4;VICE-GOVERNADOR;COLIGAÇÃO;51;PATRIOTA;PATRIOTA;-1;#NULO#;#NULO#;#NULO#;70001685429;DF PARA TODOS;PODE / PATRIOTA / PSD / PSC / PMB;D;DEFERIDO
1700016814395110;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PE;PE;PERNAMBUCO;10;2º SUPLENTE;COLIGAÇÃO;51;PATRIOTA;PATRIOTA;-1;#NULO#;#NULO#;#NULO#;1,70002E+11;PERNAMBUCO COM FORÇA DE NOVO;PSC / PODE / UNIÃO / PATRIOTA;D;DEFERIDO
2200016826245004;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RO;RO;RONDÔNIA;4;VICE-GOVERNADOR;FEDERAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;3;Federação PSOL REDE;PSOL/REDE;REDE / PSOL;2,20002E+11;#NULO#;PSOL/REDE;D;DEFERIDO
1700016820744003;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PE;PE;PERNAMBUCO;3;GOVERNADOR;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,70002E+11;FRENTE POPULAR DE PERNAMBUCO;PT/PC DO B/PV / REPUBLICANOS / MDB / PDT / PP / PSB;DR;DEFERIDO COM RECURSO
2200016854763607;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RO;RO;RONDÔNIA;7;DEPUTADO ESTADUAL;PARTIDO ISOLADO;36;AGIR;AGIR;-1;#NULO#;#NULO#;#NULO#;2,20002E+11;#NULO#;AGIR;D;DEFERIDO
200016834461506;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AL;AL;ALAGOAS;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;20001683446;#NULO#;MDB;D;DEFERIDO
2300016810259005;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RR;RR;RORAIMA;5;SENADOR;COLIGAÇÃO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;-1;#NULO#;#NULO#;#NULO#;2,30002E+11;VAMOS CUIDAR PARA RORAIMA NÃO PARAR;PROS / PSC;D;DEFERIDO
900016834235509;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;GO;GO;GOIÁS;9;1º SUPLENTE;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;-1;#NULO#;#NULO#;#NULO#;90001683423;#NULO#;PSD;D;DEFERIDO
2400016822405109;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;SC;SC;SANTA CATARINA;9;1º SUPLENTE;COLIGAÇÃO;51;PATRIOTA;PATRIOTA;-1;#NULO#;#NULO#;#NULO#;2,40002E+11;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;D;DEFERIDO
700016834602706;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;DF;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;27;DC;DEMOCRACIA CRISTÃ;-1;#NULO#;#NULO#;#NULO#;70001683460;#NULO#;DC;D;DEFERIDO
900016811821907;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;GO;GO;GOIÁS;7;DEPUTADO ESTADUAL;PARTIDO ISOLADO;19;PODE;PODEMOS;-1;#NULO#;#NULO#;#NULO#;90001681182;#NULO#;PODE;D;DEFERIDO
800016853531509;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;ES;ES;ESPÍRITO SANTO;9;1º SUPLENTE;COLIGAÇÃO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;80001685353;JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE;PSDB/CIDADANIA / MDB / PT/PC DO B/PV / PP / PDT / PODE / PROS / PSB;D;DEFERIDO
2200016830812206;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RO;RO;RONDÔNIA;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;22;PL;PARTIDO LIBERAL;-1;#NULO#;#NULO#;#NULO#;2,20002E+11;#NULO#;PL;D;DEFERIDO
2600016816411004;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;SE;SE;SERGIPE;4;VICE-GOVERNADOR;COLIGAÇÃO;10;REPUBLICANOS;REPUBLICANOS;-1;#NULO#;#NULO#;#NULO#;2,60002E+11;NOVO TEMPO PRA SERGIPE;PDT / PSC / UNIÃO / REPUBLICANOS / PP / PSD / AVANTE;D;DEFERIDO
900016849983306;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;GO;GO;GOIÁS;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;-1;#NULO#;#NULO#;#NULO#;90001684998;#NULO#;PMN;D;DEFERIDO
700016837581405;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;DF;DF;DISTRITO FEDERAL;5;SENADOR;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;70001683758;#NULO#;PTB;D;DEFERIDO
1300016815441406;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;MG;MG;MINAS GERAIS;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,30002E+11;#NULO#;PTB;D;DEFERIDO
100016830852209;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AC;AC;ACRE;9;1º SUPLENTE;COLIGAÇÃO;22;PL;PARTIDO LIBERAL;-1;#NULO#;#NULO#;#NULO#;10001683085;A esperança de um Acre melhor começa agora;REPUBLICANOS / PL / PRTB / PSC / MDB;D;DEFERIDO
400016830862205;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AM;AM;AMAZONAS;5;SENADOR;COLIGAÇÃO;22;PL;PARTIDO LIBERAL;-1;#NULO#;#NULO#;#NULO#;40001683086;AQUI É TRABALHO;REPUBLICANOS / PP / PSC / PL / PTB / PRTB / PMN / UNIÃO / PATRIOTA;D;DEFERIDO
1900016810483004;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RJ;RJ;RIO DE JANEIRO;4;VICE-GOVERNADOR;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;-1;#NULO#;#NULO#;#NULO#;1,90002E+11;#NULO#;NOVO;D;DEFERIDO
300016821921909;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AP;AP;AMAPÁ;9;1º SUPLENTE;COLIGAÇÃO;19;PODE;PODEMOS;-1;#NULO#;#NULO#;#NULO#;30001682192;EFICIÊNCIA E TRABALHO;MDB / PODE;D;DEFERIDO
2500016816183310;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;SP;SP;SÃO PAULO;10;2º SUPLENTE;COLIGAÇÃO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;-1;#NULO#;#NULO#;#NULO#;2,50002E+11;São Paulo Pode Mais;PTB / PSD / PSC / PMN / PL / REPUBLICANOS;D;DEFERIDO
600016816512709;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;CE;CE;CEARÁ;9;1º SUPLENTE;COLIGAÇÃO;27;DC;DEMOCRACIA CRISTÃ;-1;#NULO#;#NULO#;#NULO#;60001681651;DO POVO, PELO POVO E PARA O POVO;PSB / AGIR / DC / PMB / PDT / PSD / PMN / PATRIOTA / PSC;D;DEFERIDO
900016832272709;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;GO;GO;GOIÁS;9;1º SUPLENTE;COLIGAÇÃO;27;DC;DEMOCRACIA CRISTÃ;-1;#NULO#;#NULO#;#NULO#;90001683227;ESTADO INTELIGENTE;DC / PMB / REPUBLICANOS / PATRIOTA / AGIR / PMN;D;DEFERIDO
500016812813510;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;BA;BA;BAHIA;10;2º SUPLENTE;COLIGAÇÃO;35;PMB;PARTIDO DA MULHER BRASILEIRA;-1;#NULO#;#NULO#;#NULO#;50001681281;BAHIA DE MÃOS DADAS COM O BRASIL ;PL / PROS / PMB / PATRIOTA / AGIR;DR;DEFERIDO COM RECURSO
2800016813597702;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;544;Eleição Geral Federal 2022;02/10/2022;BR;BR;BRASIL;2;VICE-PRESIDENTE;COLIGAÇÃO;77;SOLIDARIEDADE;SOLIDARIEDADE;-1;#NULO#;#NULO#;#NULO#;2,80002E+11;COLIGAÇÃO BRASIL DA ESPERANÇA;PT/PC DO B/PV / SOLIDARIEDADE / PSOL/REDE / PSB / AGIR / AVANTE / PROS;D;DEFERIDO
1900016821764407;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RJ;RJ;RIO DE JANEIRO;7;DEPUTADO ESTADUAL;PARTIDO ISOLADO;44;UNIÃO;UNIÃO BRASIL;-1;#NULO#;#NULO#;#NULO#;1,90002E+11;#NULO#;UNIÃO;D;DEFERIDO
2200016810604407;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RO;RO;RONDÔNIA;7;DEPUTADO ESTADUAL;PARTIDO ISOLADO;44;UNIÃO;UNIÃO BRASIL;-1;#NULO#;#NULO#;#NULO#;2,20002E+11;#NULO#;UNIÃO;D;DEFERIDO
600016814077004;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;CE;CE;CEARÁ;4;VICE-GOVERNADOR;COLIGAÇÃO;70;AVANTE;AVANTE;-1;#NULO#;#NULO#;#NULO#;60001681407;UNIÃO PELO CEARÁ;PODE / AVANTE / PL / REPUBLICANOS / PTB / PROS / UNIÃO;D;DEFERIDO
